S_no,job_company,job_role,job_level,job_experience_min,job_experience_max,job_industry,job_functions,job_skills,,,,,,,Languages,Number,Column1,,,,,,,,,,,,,,,,,,,,
1,Johnson Controls,Sr.Engineer - ECAD Library,77 applicants,3,7351,Mechanical Or Industrial Engineering,NA,C,,,,,,,C,51,52%,,,,,,,,,,,,,,,,,,,,
2,Alcon,Engineering Exp Core Network Security,Mid-Senior level,5,10,Medical Device,NA,,,,,,,,AWS,36,36%,,,,,,,,,,,,,,,,,,,,
3,TIBCO,Associate Engineer,Entry level,1,3,Computer Software,NA,C# Python SQL AWS,,,,,,,SQL,30,30%,,,,,,,,,,,,,,,,,,,,
4,QBurst,Senior Engineer - HTML / CSS,Associate,,NA,Information Technology & Services,NA,HTML5 CSS JavaScript,,,,,,,Azure,29,29%,,,,,,,,,,,,,,,,,,,,
5,QBurst,Senior Engineer - HTML / CSS,Associate,,NA,Information Technology & Services,NA,HTML5 CSS JavaScript,,,,,,,Oracle,25,25%,,,,,,,,,,,,,,,,,,,,
6,Accenture in India,Data Engineering,5 applicants,40,NA,Information Technology & Services,NA,Oracle C SQL Azure AWS,,,,,,,Java,23,23%,,,,,,,,,,,,,,,,,,,,
7,Artivatic.ai [Insurtech],Artivatic.ai - Blockchain Developer - Solidity/Cryptography (3-5 yrs) Bangalore,Entry level,,NA,Insurance,NA,C Node.js JavaScript Solidity,,,,,,,JavaScript,23,23%,,,,,,,,,,,,,,,,,,,,
8,JPMorgan Chase & Co.,Software Engineering - Java Full Stack,Entry level,5,NA,Financial Services,NA,Java JavaScript React,,,,,,,Python,16,16%,,,,,,,,,,,,,,,,,,,,
9,Novartis India,Engineering Expert-Unix,Mid-Senior level,3,10,Pharmaceuticals,NA,Oracle C Azure AWS,,,,,,,React,13,13%,,,,,,,,,,,,,,,,,,,,
10,Sakon,Senior Engineer-PowerBI,44 applicants,8,10,Telecommunications,NA,SQL,,,,,,,CSS,9,9%,,,,,,,,,,,,,,,,,,,,
11,Accenture in India,Data Engineering,7 applicants,40,NA,Information Technology & Services,NA,Oracle C SQL Azure AWS,,,,,,,Spring,9,9%,,,,,,,,,,,,,,,,,,,,
12,KONE,Senior Engineer - Modernisation,Associate,3,6,Mechanical Or Industrial Engineering,NA,C,,,,,,,HTML5,8,8%,,,,,,,,,,,,,,,,,,,,
13,Maersk Global Service Centres,Sr Engineer (Backend),52 applicants,5,8,Outsourcing/Offshoring,NA,Oracle C Java Spring Hibernate SQL Angular Azure,,,,,,,C++,6,6%,,,,,,,,,,,,,,,,,,,,
14,JPMorgan Chase & Co.,Software Engineering - Enterprise Data Engineering,Entry level,,NA,Financial Services,NA,C Java Spring AWS,,,,,,,NodeJS,6,6%,,,,,,,,,,,,,,,,,,,,
15,The Jurists,BlockChain Developer/Lead - Java/Spring/Hibernate (5-12 yrs) Delhi NCR/Gurgaon/Gurugram (Backend Developer),Associate,6000,3,Legal Services,NA,Java Spring SQL JavaScript NodeJS,,,,,,,Ruby,5,5%,,,,,,,,,,,,,,,,,,,,
16,Accenture in India,Data Engineering,5 applicants,40,NA,Information Technology & Services,NA,Oracle C SQL Azure AWS,,,,,,,Angular,5,5%,,,,,,,,,,,,,,,,,,,,
17,Novartis India,Engineering Expert-Unix,Mid-Senior level,3,10,Pharmaceuticals,NA,Oracle C Azure AWS,,,,,,,Node.js,4,4%,,,,,,,,,,,,,,,,,,,,
18,Novartis India,Engineering Expert - Oracle,Mid-Senior level,12,18,Pharmaceuticals,NA,Oracle C Azure AWS,,,,,,,Solidity,4,4%,,,,,,,,,,,,,,,,,,,,
19,QBurst,Senior Engineer - React Native,Associate,5,NA,Information Technology & Services,NA,HTML5 CSS React,,,,,,,Hibernate,3,3%,,,,,,,,,,,,,,,,,,,,
20,American Express,"Senior Engineer –Genesys SME ,Global Delivery",Mid-Senior level,,NA,Financial Services,NA,C Java Spring,,,,,,,Ethereum,3,3%,,,,,,,,,,,,,,,,,,,,
21,Mastercard,Senior BizOps Engineer,Associate,,NA,Information Technology & Services,NA,Java Spring Hibernate Azure,,,,,,,C#,2,2%,,,,,,,,,,,,,,,,,,,,
22,The Jurists,BlockChain Developer/Lead - Java/Spring/Hibernate (5-12 yrs) Delhi NCR/Gurgaon/Gurugram (Backend Developer),Associate,6000,3,Legal Services,NA,Java Spring SQL JavaScript NodeJS,,,,,,,ASP.NET,2,2%,,,,,,,,,,,,,,,,,,,,
23,Microchip Technology Inc.,Senior Engineer-I– SPG Application team,Mid-Senior level,5,NA,Semiconductors,NA,C Python HTML5 C++ CSS JavaScript,,,,,,,PostgreSQL,1,1%,,,,,,,,,,,,,,,,,,,,
24,JPMorgan Chase & Co.,Software Engineering - Enterprise Data Engineering,Entry level,,NA,Financial Services,NA,C Java Spring AWS,,,,,,,NA,1,1%,,,,,,,,,,,,,,,,,,,,
25,LTI - Larsen & Toubro Infotech,UCD/Udeploy - Senior Engineer,17 applicants,5,10,Information Technology & Services,NA,,,,,,,,Spark,0,0%,,,,,,,,,,,,,,,,,,,,
26,HARMAN International,Senior Engineer,Associate,5,6,Consumer Electronics,NA,C ASP.NET JavaScript,,,,,,,ReactJS,0,0%,,,,,,,,,,,,,,,,,,,,
27,Tmi Ikiloop,SRF/JRF Engineering,Entry level,31000,2,Computer Software,NA,C,,,,,,,AngularJS,0,0%,,,,,,,,,,,,,,,,,,,,
28,Sony Electronics,Splunk Senior Engineer,Mid-Senior level,5,6,Consumer Electronics,NA,Oracle Python SQL Ruby,,,,,,,Golang,0,0%,,,,,,,,,,,,,,,,,,,,
29,Panaesha Capital Pvt. Ltd.,Blockchain Developer - Distributed Ledger Technologies (3-10 yrs) Delhi NCR (Emerging Technologies & Roles),Entry level,2,NA,Marketing & Advertising,NA,C Java C++ SQL JavaScript Angular NodeJS Ethereum Solidity,,,,,,,C/C++,0,0%,,,,,,,,,,,,,,,,,,,,
30,TIBCO,Associate Engineer,Entry level,1,3,Computer Software,NA,C C# SQL JavaScript,,,,,,,AngularJS,0,0%,,,,,,,,,,,,,,,,,,,,
31,CommScope,"Senior Engineer, R&D",Associate,12,10,Telecommunications,NA,Java Python SQL,,,,,,,CSS3,0,0%,,,,,,,,,,,,,,,,,,,,
32,QBurst,Senior Engineer - React Native,Associate,5,NA,Information Technology & Services,NA,HTML5 CSS React,,,,,,,Scala,0,0%,,,,,,,,,,,,,,,,,,,,
33,CpCareers Private Limited,Senior SAP EWM Engineer,Associate,7,15,Human Resources,NA,AWS,,,,,,,PHP,0,0%,,,,,,,,,,,,,,,,,,,,
34,HARMAN International,Senior Engineer,Associate,1,1,Consumer Electronics,NA,SQL,,,,,,,Hyperledger,0,0%,,,,,,,,,,,,,,,,,,,,
35,Altran,SENIOR ENGINEER,Mid-Senior level,36,NA,Information Technology & Services,NA,C,,,,,,,R3,0,0%,,,,,,,,,,,,,,,,,,,,
36,Talent Tigers,Archive Engineering Expert - MicroFocus/Data Archiving (5-10 yrs) Bangalore (DevOps),Entry level,,NA,Outsourcing/Offshoring,NA,Python,,,,,,,Corda,0,0%,,,,,,,,,,,,,,,,,,,,
37,Accenture in India,Data Engineering,5 applicants,40,NA,Information Technology & Services,NA,Oracle C SQL Azure AWS,,,,,,,Quorum,0,0%,,,,,,,,,,,,,,,,,,,,
38,HARMAN International,DevOps Release Engineering,Entry level,5,7,Consumer Electronics,NA,Python,,,,,,,Golang,0,0%,,,,,,,,,,,,,,,,,,,,
39,T-Systems ICT India Pvt. Ltd.,Senior Engineer,Mid-Senior level,3,5,Information Technology & Services,NA,C Java Python AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,JPMorgan Chase & Co.,Software Engineering - Java Full Stack,Entry level,5,NA,Financial Services,NA,Java JavaScript React,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Accenture in India,Data Engineering,3 applicants,40,NA,Information Technology & Services,NA,Oracle C SQL Azure AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Informatica,Product Marketing - Data Engineering,Entry level,5,NA,Computer Software,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Agiliad,Senior Engineer C Net,Associate,3,7,Computer Software,NA,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,A.P. Moller - Maersk,"Senior Engineer , Treasury",30 applicants,5,NA,Logistics & Supply Chain,NA,Java SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,QBurst,Senior Engineer - HTML / CSS,Associate,,NA,Information Technology & Services,NA,HTML5 CSS JavaScript,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,JPMorgan Chase & Co.,Software Engineering - Java Full Stack,Entry level,5,NA,Financial Services,NA,Java JavaScript React,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,JPMorgan Chase & Co.,Software Engineering - Java Full Stack,Entry level,5,NA,Financial Services,NA,Java JavaScript React,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,CommScope,"Senior Engineer, R&D",Associate,10,10,Telecommunications,NA,C C++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,HARMAN International,Senior Engineer,Associate,,NA,Consumer Electronics,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,HARMAN International,DevOps Release Engineering,Entry level,5,7,Consumer Electronics,NA,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Novartis India,Engineering Expert - Oracle,Mid-Senior level,12,18,Pharmaceuticals,NA,Oracle C Azure AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Accenture in India,Data Engineering,3 applicants,40,NA,Information Technology & Services,NA,Oracle C SQL Azure AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Novartis India,Engineering Expert-Unix,Mid-Senior level,3,10,Pharmaceuticals,NA,Oracle C Azure AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Wabtec Corporation,Senior Engineer,Associate,6,NA,Transportation/Trucking/Railroad,NA,C Python SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,CpCareers Private Limited,Senior SAP EWM Engineer,Associate,7,15,Human Resources,NA,AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Ceequence Technologies,Senior Engineer,Associate,6,8,Outsourcing/Offshoring,NA,Oracle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Invesco Ltd.,"Sr. Eng. II, Invest Tech",Mid-Senior level,6,NA,Investment Management,NA,Oracle PostgreSQL Python SQL JavaScript Angular React AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,MindDeft Technologies,Full Stack Blockchain DAPP Developer,22 applicants,2,5,Information Technology & Services,NA,CSS React NodeJS Azure AWS Ethereum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Accenture in India,Data Engineering,13 applicants,40,NA,Information Technology & Services,NA,Oracle C SQL Azure AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,American Express,Senior Engineer- Salesforce,Mid-Senior level,10,NA,Financial Services,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,JPMorgan Chase & Co.,Software Engineering - Java Full Stack,Entry level,5,NA,Financial Services,NA,Java JavaScript React,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,DISH Network,"Senior Engineer( Kotlin , NodeJS ,React JS))",19 applicants,8,NA,Telecommunications,NA,SQL Angular React NodeJS AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Novartis India,Platform Engineering Expert -AWS,Mid-Senior level,4,4,Pharmaceuticals,NA,C Python Node.js Ruby Azure AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,American Express,"Senior Engineer –Genesys SME ,Global Delivery",Associate,,NA,Financial Services,NA,C Java Spring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Xylem Inc.,Engineer / Senior Engineer M&C-1,Associate,,NA,Mechanical Or Industrial Engineering,NA,C AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,JPMorgan Chase & Co.,Full Stack Blockchain Software Engineer - Associate,Entry level,5,NA,Financial Services,NA,Java JavaScript React,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Accenture in India,Data Engineering,5 applicants,40,NA,Information Technology & Services,NA,Oracle C SQL Azure AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,JPMorgan Chase & Co.,Software Engineering - Java Full Stack,Entry level,5,NA,Financial Services,NA,Java JavaScript React,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,HARMAN International,Senior Engineer,Associate,5,6,Consumer Electronics,NA,C ASP.NET JavaScript,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Panaesha Capital Pvt. Ltd.,Blockchain Developer - Distributed Ledger Technologies (3-10 yrs) Delhi NCR (Emerging Technologies & Roles),Entry level,2,NA,Marketing & Advertising,NA,C Java C++ SQL JavaScript Angular NodeJS Ethereum Solidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Novartis India,Engineering Expert - Backup,Mid-Senior level,6,10,Pharmaceuticals,NA,Azure AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Western Digital,"Senior Engineer, Firmware Engineering",Mid-Senior level,8,NA,Computer Hardware,NA,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Accenture in India,Data Engineering,7 applicants,40,NA,Information Technology & Services,NA,Oracle C SQL Azure AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Novartis India,Engineering Expert - Backup,Mid-Senior level,6,10,Pharmaceuticals,NA,Azure AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Sony Electronics,Splunk Senior Engineer,Mid-Senior level,5,6,Consumer Electronics,NA,Oracle Python SQL Ruby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Suresh Gyan Vihar University,Principal Engineering,Entry level,15,5,Higher Education,NA,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,METMOX,Sr.Splunk Engineer,34 applicants,3,NA,Information Technology & Services,NA,Azure AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Mastercard,Senior BizOps Engineer,Associate,,NA,Information Technology & Services,NA,Java Spring Hibernate Azure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Novartis India,Platform Engineering Expert -AWS,Mid-Senior level,4,4,Pharmaceuticals,NA,C Python Node.js Ruby Azure AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Accenture in India,Data Engineering,8 applicants,40,NA,Information Technology & Services,NA,Oracle C SQL Azure AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Nike,"Senior IAM Engineer, India – CIS ICC",Associate,0,3,Sporting Goods,NA,Oracle C Java SQL JavaScript Azure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,American Express,Senior Engineer- Salesforce,Associate,10,NA,Financial Services,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Mastercard,Senior BizOps Engineer-1,Associate,,NA,Information Technology & Services,NA,C Java Python C++ Ruby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Accenture in India,Data Engineering,5 applicants,40,NA,Information Technology & Services,NA,Oracle C SQL Azure AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,QBurst,Senior Engineer - HTML / CSS,Associate,,NA,Information Technology & Services,NA,HTML5 CSS JavaScript,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Accenture in India,Data Engineering,17 applicants,40,NA,Information Technology & Services,NA,Oracle C SQL Azure AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,CommScope,"Senior Engineer, R&D",Associate,8,11,Telecommunications,NA,C Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,QBurst,Senior Engineer - React Native,Associate,5,NA,Information Technology & Services,NA,HTML5 CSS React,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Eaton,Senior Engineer,Mid-Senior level,6,7,Electrical & Electronic Manufacturing,NA,C Python C++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,LTI - Larsen & Toubro Infotech,UCD/Udeploy - Senior Engineer,17 applicants,5,10,Information Technology & Services,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,LTI - Larsen & Toubro Infotech,UCD/Udeploy - Senior Engineer,17 applicants,5,10,Information Technology & Services,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Accenture in India,Data Engineering,8 applicants,40,NA,Information Technology & Services,NA,Oracle C SQL Azure AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Ericsson,"Engineer /Sr Engineer, Network Security",Full-time,5,5,Information Technology & Services,NA,AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Novartis India,Engineering Expert - Oracle,Mid-Senior level,12,18,Pharmaceuticals,NA,Oracle C Azure AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Alcon,Engineering Exp Core Network Security,Mid-Senior level,5,10,Medical Device,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Artivatic.ai [Insurtech],Artivatic.ai - Blockchain Developer - Solidity/Cryptography (3-5 yrs) Bangalore,Entry level,,NA,Insurance,NA,C Node.js JavaScript Solidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Xylem Inc.,Engineer / Senior Engineer M&C-2,Associate,,NA,Mechanical Or Industrial Engineering,NA,C AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Tmi Ikiloop,SRF/JRF Engineering,Entry level,31000,2,Computer Software,NA,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,American Express,Senior Engineer- Salesforce,Associate,10,NA,Financial Services,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oracle,PostgreSQL,C,Spark,C#,Java,Python,Node.js,HTML5,ReactJS,AngularJS,NA,ASP.NET,C++,Golang,C/C++,CSS,Spring,Hibernate,SQL,JavaScript,Ruby,AngularJS,Angular,React,CSS3,Scala,NodeJS,PHP,Azure,AWS,Hyperledger,Ethereum,R3,Corda,Quorum,Golang,Solidity
25,1,51,0,2,23,16,4,8,0,0,1,2,6,0,0,9,900%,3,30,23,5,0,5,13,0,0,6,0,29,36,0,3,0,0,0,0,4
